index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,574.9537297775441,2910.8303040502215
0,polygon,1,732.6934260119253,3010.0889821617798
0,polygon,2,2384.430033182797,3063.7354512908037
0,polygon,3,2521.9872947850636,2975.6944194214966
0,polygon,4,2620.728235377752,2831.583813548803
0,polygon,5,2673.8569669879,1193.476296739622
0,polygon,6,2581.790642516902,1042.1173656027054
0,polygon,7,2443.6316859602684,966.3504443722759
0,polygon,8,794.3391730226354,908.247234709172
0,polygon,9,654.5103963600852,996.2019769919978
0,polygon,10,560.6576442338796,1131.3991017965182
0,polygon,11,507.6152022102119,2767.235103545417
